Address,mins_to_subway,mins_to_park,cost,broker_fee,laundry,sq_ft,finish,stores,elevator,exposure,dishwasher
160 W 71st,1,7,3700,0,1,,5,7,1,5,0
50 W 72nd,5,3,3800,6000,1,,10,6,1,10,1
